"id","title","author","issue","volume","venue","page","pub_date","type","publisher","editor"
"meta:br/060241 doi:10.4230/lipics.approx/random.2020.58","On The Approximability Of Presidential Type Predicates","Huang, Neng [meta:ra/0605387]; Potechin, Aaron [meta:ra/0605388]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605389]","Byrka, Jarosław [meta:ra/069044096 orcid:0000-0002-3387-0913]; Raghu Meka [meta:ra/0605390]"
"meta:br/06099 isbn:9780203354452 isbn:9780203302576 doi:10.4324/9780203302576 doi:10.3109/9780203302576","Dielectric Analysis Of Pharmaceutical Systems","Craig, Duncan Q M [meta:ra/0604249]; Craig, Duncan [meta:ra/06306270315]","","","","","1995-11-30","reference book","Informa Uk Limited [meta:ra/0610116005 crossref:301]",""
"meta:br/060822 doi:10.4230/lipics.esa.2021.77","Hardness Of Detecting Abelian And Additive Square Factors In Strings","Radoszewski, Jakub [meta:ra/0612079961 orcid:0000-0002-0067-6401]; Rytter, Wojciech [meta:ra/0612079962 orcid:0000-0002-9162-6724]; Straszyński, Juliusz [meta:ra/066093904 orcid:0000-0003-2207-0053]; Waleń, Tomasz [meta:ra/0617014915 orcid:0000-0002-7369-3309]; Zuba, Wiktor [meta:ra/0612079963 orcid:0000-0002-1988-3507]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607218]","Mutzel, Petra [meta:ra/0613010730 orcid:0000-0001-7621-971X]; Pagh, Rasmus [meta:ra/065093548 orcid:0000-0002-1516-9306]; Herman, Grzegorz [meta:ra/0622087885 orcid:0000-0001-6855-8316]"
"meta:br/060453 doi:10.4230/lipics.cp.2021.28","Refined Core Relaxation For Core-Guided MaxSAT Solving","Ihalainen, Hannes [meta:ra/0606150]; Berg, Jeremias [meta:ra/0626092024 orcid:0000-0001-7660-8061]; Järvisalo, Matti [meta:ra/061409245 orcid:0000-0003-2572-063X]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606151]","Michel, Laurent D. [meta:ra/0606095 orcid:0000-0001-7230-7130]"
"meta:br/060368 doi:10.4230/lipics.concur.2020.15","On Ranking Function Synthesis And Termination For Polynomial Programs","Neumann, Eike [meta:ra/0605885]; Ouaknine, Joël [meta:ra/0605886]; Worrell, James [meta:ra/0605887]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605888]","Konnov, Igor [meta:ra/061803159 orcid:0000-0001-6629-3377]; Kovács, Laura [meta:ra/0614082191 orcid:0000-0002-8299-2714]"
"meta:br/0606 doi:10.1002/(sici)1097-0142(19990501)85:9<1885::aid-cncr2>3.0.co;2-o","Influence Of Dietary Factors On Oral Precancerous Lesions In A Population-Based Case-Control Study In Kerala, India","Gupta, Prakash C. [meta:ra/06020]; Hebert, James R. [meta:ra/06021]; Bhonsle, Ramesh B. [meta:ra/06022]; Murti, P. R. [meta:ra/06023]; Mehta, Hemali [meta:ra/06024]; Mehta, Fali S. [meta:ra/06025]","9","85","Cancer [meta:br/066016153 issn:0008-543X issn:1097-0142 doi:10.1002/(issn)1097-0142]","1885-1893","1999-05-01","journal article","Wiley [meta:ra/0610116001 crossref:311]",""
"meta:br/060285 doi:10.4230/lipics.approx/random.2021.56","Ideal-Theoretic Explanation Of Capacity-Achieving Decoding","Bhandari, Siddharth [meta:ra/0605548]; Harsha, Prahladh [meta:ra/0617049439 orcid:0000-0002-2739-5642]; Kumar, Mrinal [meta:ra/0605549]; Sudan, Madhu [meta:ra/0605550]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605551]","Wootters, Mary [meta:ra/0624053021 orcid:0000-0002-2345-2531]; Sanità, Laura [meta:ra/0690108433 orcid:0000-0002-6384-1857]"
"meta:br/060647 doi:10.4230/lipics.ecoop.2020.7","K-LLVM: A Relatively Complete Semantics Of LLVM IR","Li, Liyi [meta:ra/0604384 orcid:0000-0001-8184-0244]; Gunter, Elsa L. [meta:ra/0606745]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606746]","Hirschfeld, Robert [meta:ra/06220110568 orcid:0000-0002-4249-6003]; Pape, Tobias [meta:ra/064027235 orcid:0000-0003-0110-6918]"
"meta:br/060576 doi:10.4230/lipics.disc.2021.21","Improved Weighted Additive Spanners","Elkin, Michael [meta:ra/0606504]; Gitlitz, Yuval [meta:ra/0606505]; Neiman, Ofer [meta:ra/0606506]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606507]","Gilbert, Seth [meta:ra/0606508]"
"meta:br/060175 issn:2747-3635 issn:2747-3619","Urban Studies","","","","","","","book series","",""
"meta:br/060319 doi:10.4230/lipics.ccc.2020.35","Geometric Rank Of Tensors And Subrank Of Matrix Multiplication","Kopparty, Swastik [meta:ra/0605699]; Moshkovitz, Guy [meta:ra/0605700]; Zuiddam, Jeroen [meta:ra/0605701]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605702]","Shubhangi Saraf [meta:ra/0605703]"
"meta:br/060853 doi:10.4230/lipics.fscd.2020.28","Strongly Normalizing Higher-Order Relational Queries","Ricciotti, Wilmer [meta:ra/06806536504 orcid:0000-0002-2361-8538]; Cheney, James [meta:ra/065087842 orcid:0000-0002-1307-9286]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607315]","Zena M. Ariola [meta:ra/0607316]"
"meta:br/060206 doi:10.4230/lipics.approx/random.2020.15","On Nonadaptive Security Reductions Of Hitting Set Generators","Hirahara, Shuichi [meta:ra/0605239]; Watanabe, Osamu [meta:ra/0605240]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605241]","Byrka, Jarosław [meta:ra/069044096 orcid:0000-0002-3387-0913]; Raghu Meka [meta:ra/0605242]"
"meta:br/06096 doi:10.4324/9781003040255 isbn:9781439822319 doi:10.1201/9781439822319 isbn:9781893997752","Modern Methods For Lipid Analysis By Liquid Chromatography","Craig Byrdwell, William [meta:ra/0604245]; Brydwell, William Craig [meta:ra/06406255508]","","","","","2005-02-28","reference book","Informa Uk Limited [meta:ra/0610116005 crossref:301]",""
"meta:br/060401 doi:10.4230/lipics.concur.2020.7","How Reversibility Can Solve Traditional Questions: The Example Of Hereditary History-Preserving Bisimulation","Aubert, Clément [meta:ra/063018870 orcid:0000-0001-6346-3043]; Cristescu, Ioana [meta:ra/0605983]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605984]","Konnov, Igor [meta:ra/061803159 orcid:0000-0001-6629-3377]; Kovács, Laura [meta:ra/0614082191 orcid:0000-0002-8299-2714]"
"meta:br/060571 doi:10.4230/lipics.disc.2021.10","Deterministic Logarithmic Completeness In The Distributed Sleeping Model","Barenboim, Leonid [meta:ra/0606477]; Maimon, Tzalik [meta:ra/0606478]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606479]","Gilbert, Seth [meta:ra/0606480]"
"meta:br/060127 doi:10.1002/9780470997055 isbn:9781405112185 doi:10.1111/b.9781405112185.2005.x isbn:9780470997055","A Companion To Science Fiction","","","","","","2005","reference book","Wiley [meta:ra/0610116001 crossref:311]","Seed, David [meta:ra/0604314]"
"meta:br/060863 doi:10.4230/lipics.fscd.2020.8","Pomsets With Boxes: Protection, Separation, And Locality In Concurrent Kleene Algebra","Brunet, Paul [meta:ra/0615095741 orcid:0000-0002-9762-6872]; Pym, David [meta:ra/0607346 orcid:0000-0002-6504-5838]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607347]","Zena M. Ariola [meta:ra/0607348]"
"meta:br/060376 doi:10.4230/lipics.concur.2020.23","Multi-Dimensional Long-Run Average Problems For Vector Addition Systems With States","Chatterjee, Krishnendu [meta:ra/061044631 orcid:0000-0002-4561-241X]; Henzinger, Thomas A. [meta:ra/0605912]; Otop, Jan [meta:ra/0625071920 orcid:0000-0002-8804-8011]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605913]","Konnov, Igor [meta:ra/061803159 orcid:0000-0001-6629-3377]; Kovács, Laura [meta:ra/0614082191 orcid:0000-0002-8299-2714]"
"meta:br/060446 doi:10.4230/lipics.cp.2021.20","Combining VSIDS And CHB Using Restarts In SAT","Cherif, Mohamed Sami [meta:ra/0622097797 orcid:0000-0003-4646-9982]; Habet, Djamal [meta:ra/0606133]; Terrioux, Cyril [meta:ra/067092719 orcid:0000-0002-9779-9108]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606134]","Michel, Laurent D. [meta:ra/0606095 orcid:0000-0001-7230-7130]"
"meta:br/060449 doi:10.4230/lipics.cp.2021.24","Parallel Model Counting With CUDA: Algorithm Engineering For Efficient Hardware Utilization","Fichte, Johannes K. [meta:ra/0614096008 orcid:0000-0002-8681-7470]; Hecher, Markus [meta:ra/061074639 orcid:0000-0003-0131-6771]; Roland, Valentin [meta:ra/0606138]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606139]","Michel, Laurent D. [meta:ra/0606095 orcid:0000-0001-7230-7130]"
"meta:br/060242 doi:10.4230/lipics.approx/random.2020.59","An Approximation Algorithm For The MAX-2-Local Hamiltonian Problem","Hallgren, Sean [meta:ra/0605391]; Lee, Eunou [meta:ra/0605392]; Parekh, Ojas [meta:ra/0605393]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605394]","Byrka, Jarosław [meta:ra/069044096 orcid:0000-0002-3387-0913]; Raghu Meka [meta:ra/0605395]"
"meta:br/06088 doi:10.5594/smpte.rp2092-1.2015 isbn:9781614828679 doi:10.5594/smpte.rp2092.2015","RP 2092-1:2015: Advertising Digital Identifier (Ad-ID®) Representations","","","","","","2015-05-06","standard","Society Of Motion Picture And Television Engineers (Smpte) [meta:ra/0630115612 crossref:3548]",""
"meta:br/06064 doi:10.1201/9781315370330 doi:10.4324/9781315370330 isbn:9781498727662 isbn:9781498727648","Measurement And Safety","","","","","","2016-11-25","reference book","Informa Uk Limited [meta:ra/0610116005 crossref:301]","Lipták, Béla G. [meta:ra/0602578]; Venczel, Kriszta [meta:ra/0602579]"
"meta:br/060314 doi:10.4230/lipics.ccc.2020.30","Optimal Lower Bounds For Matching And Vertex Cover In Dynamic Graph Streams","Dark, Jacques [meta:ra/0605679 orcid:0000-0002-7237-9860]; Konrad, Christian [meta:ra/06609362678 orcid:0000-0003-1802-4011]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605680]","Shubhangi Saraf [meta:ra/0605681]"
"meta:br/060997 doi:10.4230/lipics.icalp.2020.28","Improved Black-Box Constructions Of Composable Secure Computation","Chatterjee, Rohit [meta:ra/0607693]; Liang, Xiao [meta:ra/0607694]; Pandey, Omkant [meta:ra/0607695]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607696]","Artur Czumaj [meta:ra/0607590 orcid:0000-0002-7743-438X]; Dawar, Anuj [meta:ra/067073847 orcid:0000-0003-4014-8248]; Merelli, Emanuela [meta:ra/068015430 orcid:0000-0002-1321-4134]"
"meta:br/060268 doi:10.4230/lipics.approx/random.2021.35","The Product Of Gaussian Matrices Is Close To Gaussian","Li, Yi [meta:ra/061070609 orcid:0000-0002-6420-653X]; Woodruff, David P. [meta:ra/0605492]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605493]","Wootters, Mary [meta:ra/0624053021 orcid:0000-0002-2345-2531]; Sanità, Laura [meta:ra/0690108433 orcid:0000-0002-6384-1857]"
"meta:br/060545 doi:10.4230/lipics.disc.2020.1","Improved Bounds For Distributed Load Balancing","Assadi, Sepehr [meta:ra/0606386]; Bernstein, Aaron [meta:ra/0606387]; Langley, Zachary [meta:ra/0606388]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606389]","Attiya, Hagit [meta:ra/0614045824 orcid:0000-0002-8017-6457]"
"meta:br/060897 doi:10.4230/lipics.fsttcs.2020.26","Constructing Large Matchings Via Query Access To A Maximal Matching Oracle","Khalil, Lidiya Khalidah Binti [meta:ra/0607432]; Konrad, Christian [meta:ra/06609362678 orcid:0000-0003-1802-4011]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607433]","Saxena, Nitin [meta:ra/064038085 orcid:0000-0001-6931-898X]; Simon, Sunil [meta:ra/06809004712 orcid:0000-0002-7489-7477]"
"meta:br/060317 doi:10.4230/lipics.ccc.2020.33","Factorization Of Polynomials Given By Arithmetic Branching Programs","Sinhababu, Amit [meta:ra/0605691]; Thierauf, Thomas [meta:ra/0605692]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605693]","Shubhangi Saraf [meta:ra/0605694]"
"meta:br/060202 doi:10.4230/lipics.approx/random.2020.1","Extractor Lower Bounds, Revisited","Aggarwal, Divesh [meta:ra/0605224]; Guo, Siyao [meta:ra/0605225]; Obremski, Maciej [meta:ra/0605226]; Ribeiro, Joao [meta:ra/061070842 orcid:0000-0002-9870-0501]; Stephens-Davidowitz, Noah [meta:ra/0605227]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605228]","Byrka, Jarosław [meta:ra/069044096 orcid:0000-0002-3387-0913]; Raghu Meka [meta:ra/0605229]"
"meta:br/060692 doi:10.4230/lipics.ecrts.2021.3","Leveraging Hardware QoS To Control Contention In The Xilinx Zynq UltraScale+ MPSoC","Serrano-Cases, Alejandro [meta:ra/067084174 orcid:0000-0001-9794-8495]; Reina, Juan M. [meta:ra/0606862 orcid:0000-0003-4058-5886]; Abella, Jaume [meta:ra/061709492 orcid:0000-0001-7951-4028]; Mezzetti, Enrico [meta:ra/0611061221 orcid:0000-0002-1886-2931]; Cazorla, Francisco [meta:ra/0624010464 orcid:0000-0002-3344-376X]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606863]","Brandenburg, Björn [meta:ra/061702180896 orcid:0000-0001-8254-3815]"
"meta:br/060170 issn:2703-1608 issn:2703-1616","Soma Studies","","","","","","","book series","",""
"meta:br/060766 doi:10.4230/lipics.esa.2021.1","Network Planning And Routing Problems Over Time: Models, Complexity And Algorithms (Invited Talk)","Glomb, Lukas [meta:ra/0607058]; Hoch, Benno [meta:ra/0607059]; Liers, Frauke [meta:ra/0607060]; Rösel, Florian [meta:ra/0607061]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607062]","Mutzel, Petra [meta:ra/0613010730 orcid:0000-0001-7621-971X]; Pagh, Rasmus [meta:ra/065093548 orcid:0000-0002-1516-9306]; Herman, Grzegorz [meta:ra/0622087885 orcid:0000-0001-6855-8316]"
"meta:br/060513 doi:10.4230/lipics.csl.2021.10","Learning Concepts Described By Weight Aggregation Logic","Van Bergerem, Steffen [meta:ra/06707877639 orcid:0000-0002-5212-8992]; Schweikardt, Nicole [meta:ra/06404789009 orcid:0000-0001-5705-1675]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606322]","Baier, Christel [meta:ra/067062032 orcid:0000-0002-5321-9343]; Goubault-Larrecq, Jean [meta:ra/0624014097 orcid:0000-0001-5879-3304]"
"meta:br/060448 doi:10.4230/lipics.cp.2021.22","A Collection Of Constraint Programming Models For The Three-Dimensional Stable Matching Problem With Cyclic Preferences","Cseh, Ágnes [meta:ra/0623038155 orcid:0000-0003-4991-2599]; Escamocher, Guillaume [meta:ra/0617014224 orcid:0000-0001-9029-5671]; Genç, Begüm [meta:ra/0606136 orcid:0000-0003-0116-6005]; Quesada, Luis [meta:ra/062303937584 orcid:0000-0003-3177-655X]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606137]","Michel, Laurent D. [meta:ra/0606095 orcid:0000-0001-7230-7130]"
"meta:br/060920 doi:10.4230/lipics.fsttcs.2020.7","Faster Property Testers In A Variation Of The Bounded Degree Model","Adler, Isolde [meta:ra/0622098541 orcid:0000-0002-9667-9841]; Fahey, Polly [meta:ra/0607481 orcid:0000-0002-3781-5313]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607482]","Saxena, Nitin [meta:ra/064038085 orcid:0000-0001-6931-898X]; Simon, Sunil [meta:ra/06809004712 orcid:0000-0002-7489-7477]"
"meta:br/060737 doi:10.4230/lipics.esa.2020.55","Dual Half-Integrality For Uncrossable Cut Cover And Its Application To Maximum Half-Integral Flow","Garg, Naveen [meta:ra/066013142 orcid:0000-0001-7923-4464]; Kumar, Nikhil [meta:ra/0606992]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606993]","Grandoni, Fabrizio [meta:ra/06802771872 orcid:0000-0002-9676-4931]; Herman, Grzegorz [meta:ra/0622087885 orcid:0000-0001-6855-8316]; Sanders, Peter [meta:ra/0619054475 orcid:0000-0003-3330-9349]"
"meta:br/060585 doi:10.4230/lipics.disc.2021.34","Smoothed Analysis Of Population Protocols","Schwartzman, Gregory [meta:ra/0606543]; Sudo, Yuichi [meta:ra/0606544]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606545]","Gilbert, Seth [meta:ra/0606546]"
"meta:br/06055 issn:2751-2878 issn:2751-2886","VerKörperungen/MatteRealities - Perspektiven Empirischer Wissenschaftsforschung","","","","","","","book series","",""
"meta:br/06072 issn:2703-1284 issn:2703-1276","Praktiken Der Subjektivierung","","","","","","","book series","",""
"meta:br/060573 doi:10.4230/lipics.disc.2021.14","Fast Nonblocking Persistence For Concurrent Data Structures","Cai, Wentao [meta:ra/06150103558 orcid:0000-0002-7929-2653]; Wen, Haosen [meta:ra/0606488]; Maksimovski, Vladimir [meta:ra/0606489]; Du, Mingzhe [meta:ra/0606490]; Sanna, Rafaello [meta:ra/0606491]; Abdallah, Shreif [meta:ra/0606492]; Scott, Michael L. [meta:ra/0606493]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606494]","Gilbert, Seth [meta:ra/0606495]"
"meta:br/060767 doi:10.4230/lipics.esa.2021.10","Orienting (Hyper)graphs Under Explorable Stochastic Uncertainty","Bampis, Evripidis [meta:ra/0617012739 orcid:0000-0002-4498-3040]; Dürr, Christoph [meta:ra/069044097 orcid:0000-0001-8103-5333]; Erlebach, Thomas [meta:ra/0617014933 orcid:0000-0002-4470-5868]; De Lima, Murilo Santos [meta:ra/067073845 orcid:0000-0002-2297-811X]; Megow, Nicole [meta:ra/066013005 orcid:0000-0002-3531-7644]; Schlöter, Jens [meta:ra/0613077377 orcid:0000-0003-0555-4806]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607063]","Mutzel, Petra [meta:ra/0613010730 orcid:0000-0001-7621-971X]; Pagh, Rasmus [meta:ra/065093548 orcid:0000-0002-1516-9306]; Herman, Grzegorz [meta:ra/0622087885 orcid:0000-0001-6855-8316]"
"meta:br/060535 doi:10.4230/lipics.csl.2021.33","Choiceless Computation And Symmetry: Limitations Of Definability","Pago, Benedikt [meta:ra/0606367]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606368]","Baier, Christel [meta:ra/067062032 orcid:0000-0002-5321-9343]; Goubault-Larrecq, Jean [meta:ra/0624014097 orcid:0000-0001-5879-3304]"
"meta:br/060318 doi:10.4230/lipics.ccc.2020.34","On The Complexity Of Branching Proofs","Dadush, Daniel [meta:ra/0605695]; Tiwari, Samarth [meta:ra/0605696]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605697]","Shubhangi Saraf [meta:ra/0605698]"
"meta:br/060326 doi:10.4230/lipics.ccc.2020.7","Quantum Lower Bounds For Approximate Counting Via Laurent Polynomials","Aaronson, Scott [meta:ra/0605726]; Kothari, Robin [meta:ra/0605727]; Kretschmer, William [meta:ra/0605728]; Thaler, Justin [meta:ra/0605729]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605730]","Shubhangi Saraf [meta:ra/0605731]"
"meta:br/060433 doi:10.4230/lipics.concur.2021.7","Quantified Linear Temporal Logic Over Probabilistic Systems With An Application To Vacuity Checking","Piribauer, Jakob [meta:ra/0617071850 orcid:0000-0003-4829-0476]; Baier, Christel [meta:ra/067062032 orcid:0000-0002-5321-9343]; Bertrand, Nathalie [meta:ra/063018963 orcid:0000-0002-9957-5394]; Sankur, Ocan [meta:ra/061305526289 orcid:0000-0001-8146-4429]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606087]","Haddad, Serge [meta:ra/06407027331 orcid:0000-0002-1759-1201]; Varacca, Daniele [meta:ra/0606088]"
"meta:br/060362 doi:10.4230/lipics.concur.2020.1","On Privacy And Accuracy In Data Releases (Invited Paper)","Alvim, Mário [meta:ra/0612046212 orcid:0000-0002-4196-7467]; Fernandes, Natasha [meta:ra/0611078790 orcid:0000-0002-9212-7839]; McIver, Annabelle [meta:ra/0623015225 orcid:0000-0002-2405-9838]; Nunes, Gabriel H. [meta:ra/0605874 orcid:0000-0002-7823-3061]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605875]","Konnov, Igor [meta:ra/061803159 orcid:0000-0001-6629-3377]; Kovács, Laura [meta:ra/0614082191 orcid:0000-0002-8299-2714]"
"meta:br/060259 doi:10.4230/lipics.approx/random.2021.21","Peak Demand Minimization Via Sliced Strip Packing","Deppert, Max A. [meta:ra/0605463 orcid:0000-0003-3083-7998]; Jansen, Klaus [meta:ra/062403091483 orcid:0000-0001-8358-6796]; Khan, Arindam [meta:ra/062105390199 orcid:0000-0001-7505-1687]; Rau, Malin [meta:ra/0612046175 orcid:0000-0002-5710-560X]; Tutas, Malte [meta:ra/0605464 orcid:0000-0002-1360-4634]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605465]","Wootters, Mary [meta:ra/0624053021 orcid:0000-0002-2345-2531]; Sanità, Laura [meta:ra/0690108433 orcid:0000-0002-6384-1857]"
"meta:br/060364 doi:10.4230/lipics.concur.2020.11","Scalable Termination Detection For Distributed Actor Systems","Plyukhin, Dan [meta:ra/0605877]; Agha, Gul [meta:ra/0605878]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605879]","Konnov, Igor [meta:ra/061803159 orcid:0000-0001-6629-3377]; Kovács, Laura [meta:ra/0614082191 orcid:0000-0002-8299-2714]"
"meta:br/060379 doi:10.4230/lipics.concur.2020.27","Characteristic Logics For Behavioural Metrics Via Fuzzy Lax Extensions","Wild, Paul [meta:ra/0605923]; Schröder, Lutz [meta:ra/0624014376 orcid:0000-0002-3146-5906]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605924]","Konnov, Igor [meta:ra/061803159 orcid:0000-0001-6629-3377]; Kovács, Laura [meta:ra/0614082191 orcid:0000-0002-8299-2714]"
"meta:br/060105 isbn:9780429207914 doi:10.4324/9780429207914 doi:10.1201/9780203908167","Pseudo-Differential Equations And Stochastics Over Non-Archimedean Fields","Kochubei, Anatoly N. [meta:ra/0604281]","","","","","2001-08-03","reference book","Informa Uk Limited [meta:ra/0610116005 crossref:301]",""
"meta:br/060207 doi:10.4230/lipics.approx/random.2020.16","Testable Properties In General Graphs And Random Order Streaming","Czumaj, Artur [meta:ra/0605243]; Fichtenberger, Hendrik [meta:ra/061701186562 orcid:0000-0003-3246-5323]; Peng, Pan [meta:ra/0625071905 orcid:0000-0003-2700-5699]; Sohler, Christian [meta:ra/0605244]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605245]","Byrka, Jarosław [meta:ra/069044096 orcid:0000-0002-3387-0913]; Raghu Meka [meta:ra/0605246]"
"meta:br/060393 doi:10.4230/lipics.concur.2020.42","Determinisability Of One-Clock Timed Automata","Clemente, Lorenzo [meta:ra/061507819816 orcid:0000-0003-0578-9103]; Lasota, Slawomir [meta:ra/063018857 orcid:0000-0001-8674-4470]; Piórkowski, Radosław [meta:ra/0605960 orcid:0000-0002-9643-182X]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605961]","Konnov, Igor [meta:ra/061803159 orcid:0000-0001-6629-3377]; Kovács, Laura [meta:ra/0614082191 orcid:0000-0002-8299-2714]"
"meta:br/060468 doi:10.4230/lipics.cp.2021.49","Human-Centred Feasibility Restoration","Senthooran, Ilankaikone [meta:ra/06108802716 orcid:0000-0001-6207-3780]; Klapperstueck, Matthias [meta:ra/0606192 orcid:0000-0002-6759-7185]; Belov, Gleb [meta:ra/0615010195 orcid:0000-0002-6120-8484]; Czauderna, Tobias [meta:ra/06806066 orcid:0000-0002-1788-9593]; Leo, Kevin [meta:ra/062605756654 orcid:0000-0003-4720-4265]; Wallace, Mark [meta:ra/06208698 orcid:0000-0001-7326-8110]; Wybrow, Michael [meta:ra/061509682 orcid:0000-0001-5536-7780]; De La Banda, Maria Garcia [meta:ra/06307489 orcid:0000-0002-6666-514X]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606193]","Michel, Laurent D. [meta:ra/0606095 orcid:0000-0001-7230-7130]"
