"id","title","author","issue","volume","venue","page","pub_date","type","publisher","editor"
"meta:br/0602235 doi:10.4230/lipics.swat.2020.8","Submodular Clustering In Low Dimensions","Backurs, Arturs [meta:ra/06012066]; Har-Peled, Sariel [meta:ra/06012067]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06012068]","Susanne Albers [meta:ra/06012069]"
"meta:br/0602154 doi:10.4230/lipics.stacs.2020.46","Information Distance Revisited","Bauwens, Bruno [meta:ra/0615050030 orcid:0000-0002-6138-0591]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06011783]","Paul, Christophe [meta:ra/0617014248 orcid:0000-0001-6519-975X]; Markus Bläser [meta:ra/06011784]"
"meta:br/0602567 doi:10.5281/zenodo.3592368","New Data On The Spider Genus Nemesia In Algeria (Araneae: Nemesiidae)","Zonstein, Sergei L. [meta:ra/06013008]","","","[meta:br/0603686 issn:2224-6304]","","2019-12-24","journal article","Zenodo [meta:ra/06013009]",""
"meta:br/0602678 doi:10.25620/ci-01_11","A Topology Of Political Tensions","Doll, Martin [meta:ra/06013277 orcid:0000-0003-0721-2519]","","","Cultural Inquiry [meta:br/061501988891 issn:2627-731X issn:2627-728X]","","2010","report","Turia + Kant [meta:ra/06013278]","Holzhey, Christoph [meta:ra/0625086293 orcid:0000-0002-1312-1878]"
"meta:br/0602216 doi:10.4230/lipics.swat.2020.13","Parameterized Study Of Steiner Tree On Unit Disk Graphs","Bhore, Sujoy [meta:ra/0612036543 orcid:0000-0003-0104-1659]; Carmi, Paz [meta:ra/0612056225 orcid:0000-0003-0154-5013]; Kolay, Sudeshna [meta:ra/06709375345 orcid:0000-0002-2975-4856]; Zehavi, Meirav [meta:ra/0612036602 orcid:0000-0002-3636-5322]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06011989]","Susanne Albers [meta:ra/06011990]"
"meta:br/0602391 doi:10.4230/oasics.fmbc.2020.7","Mechanized Formal Model Of Bitcoin’s Blockchain Validation Procedures","Rupić, Kristijan [meta:ra/06012523]; Rožić, Lovro [meta:ra/06012524]; Derek, Ante [meta:ra/06012525]","","","[meta:br/0603684 issn:2190-6807]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06012526]","Bernardo, Bruno [meta:ra/06012527]; Marmsoler, Diego [meta:ra/0626050402 orcid:0000-0003-2859-7673]"
"meta:br/0602895 doi:10.11578/1562002","Hydrogen Retention In Lithium On Metallic Walls From ""In Vacuo"" Analysis In LTX And Implications For High-Z Plasma-Facing Components In NSTX-U","Kaita, R [meta:ra/06014112]; Lucia, M [meta:ra/06014113]; Allain, J [meta:ra/06014114]; Bedoya, F [meta:ra/06014115]; Capece, A [meta:ra/06014116]; Jaworski, M [meta:ra/06014117]; Koel, B [meta:ra/06014118]; Majeski, R [meta:ra/06014119]; Roszell, J [meta:ra/06014120]; Schmitt, J [meta:ra/06014121]; Scotti, F [meta:ra/06014122]; Skinner, C [meta:ra/06014123]; Soukhanovskii, V [meta:ra/06014124]","","","","","2016","dataset","Princeton Plasma Physics Laboratory (Pppl), Princeton [meta:ra/06014125]",""
"meta:br/0602360 doi:10.4230/oasics.atmos.2020.6","A New Sequential Approach To Periodic Vehicle Scheduling And Timetabling","Bouman, Paul [meta:ra/065023382 orcid:0000-0003-4893-4083]; Schiewe, Alexander [meta:ra/0622043146 orcid:0000-0002-1055-2066]; Schiewe, Philine [meta:ra/0616078878 orcid:0000-0002-4223-3246]","","","[meta:br/0603684 issn:2190-6807]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06012430]","Huisman, Dennis [meta:ra/06012431]; Zaroliagis, Christos [meta:ra/0625025103 orcid:0000-0003-1425-5138]"
"meta:br/0602041 doi:10.4230/lipics.socg.2020.33","Finding Closed Quasigeodesics On Convex Polyhedra","Demaine, Erik D. [meta:ra/06011443]; Hesterberg, Adam C. [meta:ra/06011444]; Ku, Jason S. [meta:ra/06011445]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06011446]","Cabello, Sergio [meta:ra/0617012474 orcid:0000-0002-3183-4126]; Chen, Xiaoming [meta:ra/0618041821 orcid:0000-0001-6565-2884]"
"meta:br/0602674 doi:10.25620/ci-01_03","Autobiographies Of Illness And Therapeutic Legitimacy In Eighteenth-Century French And English Medical Works","Arnaud, Sabine [meta:ra/063081704 orcid:0000-0002-8023-4645]","","","Cultural Inquiry [meta:br/061501988891 issn:2627-731X issn:2627-728X]","","2010","report","Turia + Kant [meta:ra/06013270]","Holzhey, Christoph [meta:ra/0625086293 orcid:0000-0002-1312-1878]"
"meta:br/0602123 doi:10.4230/lipics.socg.2021.8","Lower Bounds For Semialgebraic Range Searching And Stabbing Problems","Afshani, Peyman [meta:ra/06011685]; Cheng, Pingan [meta:ra/06011686 orcid:0000-0002-8131-847X]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06011687]","Buchin, Kevin [meta:ra/0618012476 orcid:0000-0002-3022-7877]; De Verdière, Éric Colin [meta:ra/06011688]"
"meta:br/0602849 doi:10.11578/1340543","3% Yield Increase (HH3), All Energy Crops Scenario Of The 2016 Billion Ton Report","Davis, Maggie [meta:ra/06013699]; Hellwinkel, Chad [meta:ra/06013700]; Eaton, Laurence [meta:ra/06013701]; Langholtz, Matthew [meta:ra/06013702]; Turhollow, Anthony [meta:ra/06013703]; Brandt, Craig [meta:ra/06013704]","","","","","2016","dataset","Oak Ridge National Laboratory (Ornl), Oak Ridge [meta:ra/06013705]",""
"meta:br/0602649 doi:10.5281/zenodo.5596461","Description Of Raveniola Ambardzumyani N. Sp. From Armenia (Araneae: Nemesiidae)","Marusik, Yuri M. [meta:ra/0622060257 orcid:0000-0002-4499-5148]; Zonstein, Sergei [meta:ra/0618096290 orcid:0000-0002-4515-0630]","","","[meta:br/0603686 issn:2224-6304]","","2021-10-25","journal article","Zenodo [meta:ra/06013200]",""
"meta:br/0602347 issn:1865-3804","Kommunikationswissenschaft Interdisziplinär: [Kw.Interdisziplinär]","","","","","","","book series","",""
"meta:br/0602855 doi:10.11578/1366453","A Dynamic Magnetic Tension Force As The Cause Of Failed Solar Eruptions","Myers, Clayton [meta:ra/06013736]; Yamada, Maasaki [meta:ra/06013737]; Ji, Hantao [meta:ra/06013738]; Yoo, Jongsoo [meta:ra/06013739]; Fox, William [meta:ra/06013740]; Jara-Almonte, Jonathan [meta:ra/06013741]; Savcheva, Antonia [meta:ra/06013742]; DeLuca, Edward [meta:ra/06013743]","","","","","2015","dataset","Princeton Plasma Physics Laboratory (Pppl), Princeton [meta:ra/06013744]",""
"meta:br/0602463 doi:10.4230/oasics.ldk.2021.11","Annotation Of Fine-Grained Geographical Entities In German Texts","Moreno Schneider, Julián [meta:ra/062105856707 orcid:0000-0003-1418-9935]; Plakidis, Melina [meta:ra/06012703]; Rehm, Georg [meta:ra/06012704 orcid:0000-0002-7800-1893]","","","[meta:br/0603684 issn:2190-6807]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06012705]","Gromann, Dagmar [meta:ra/0622074947 orcid:0000-0003-0929-6103]; Sérasset, Gilles [meta:ra/06240105003 orcid:0000-0003-2761-7353]; Declerck, Thierry [meta:ra/06012702 orcid:0000-0002-9450-6648]; McCrae, John [meta:ra/067073402 orcid:0000-0002-7227-1331]; Gracia, Jorge [meta:ra/0625036878 orcid:0000-0001-6452-7627]; Bosque-Gil, Julia [meta:ra/0624091322 orcid:0000-0001-6433-4649]; Bobillo, Fernando [meta:ra/06501256777 orcid:0000-0001-5136-4152]; Heinisch, Barbara [meta:ra/06306822473 orcid:0000-0002-1362-4088]"
"meta:br/0602457 doi:10.4230/oasics.ipmvm.2020.5","Optimized Routine Of Machining Distortion Characterization Based On Gaussian Surface Curvature","Garcia, Destiny R. [meta:ra/06012680]; Linke, Barbara S [meta:ra/065090865 orcid:0000-0002-9416-3868]; Farouki, Rida T. [meta:ra/06012681 orcid:0000-0003-3224-4803]","","","[meta:br/0603684 issn:2190-6807]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06012682]","Garth, Christoph [meta:ra/062204597 orcid:0000-0003-1669-8549]; C. Aurich, Jan [meta:ra/061202917 orcid:0000-0001-7063-9334]; Linke, Barbara S [meta:ra/065090865 orcid:0000-0002-9416-3868]; Müller, Ralf [meta:ra/0618089260 orcid:0000-0002-6251-6681]; Ravani, Bahram [meta:ra/061106251 orcid:0000-0002-7616-2407]; Weber, Gunther [meta:ra/061509240 orcid:0000-0002-1794-1398]; Kirsch, Benjamin [meta:ra/0619012839 orcid:0000-0001-7602-2511]"
"meta:br/0602638 doi:10.5281/zenodo.4736114","Two New And One Newly Recorded Species Of Zagrammosoma Ashmead (Hymenoptera: Eulophidae) From Israel","Yefremova, Zoya [meta:ra/06013182 orcid:0000-0001-5572-2332]; Kishinevsky, Miriam [meta:ra/06013183]","","","[meta:br/0603686 issn:2224-6304]","","2021-05-04","journal article","Zenodo [meta:ra/06013184]",""
"meta:br/0602667 doi:10.4230/darts.7.2.9","Type-Directed Operational Semantics For Gradual Typing (Artifact)","Ye, Wenjia [meta:ra/06013259]; Oliveira, Bruno C. D. S. [meta:ra/06013260]; Huang, Xuejing [meta:ra/06240107784 orcid:0000-0002-8496-491X]","","","[meta:br/0603689 issn:2509-8195]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06013261]","Halfond, William G. J. [meta:ra/06220110630 orcid:0000-0003-4951-9367]; Stiévenart, Quentin [meta:ra/062036199 orcid:0000-0001-9985-9808]"
"meta:br/0602943 doi:10.11578/1563103","ELink 2096 DOI Test","Agresta, Ronald [meta:ra/06014460]","","","","","2016","dataset","Office Of Scientific And Technical Information, Oak Ridge [meta:ra/06014461]",""
"meta:br/0602915 doi:10.11578/1562033","Kinetic Neoclassical Calculations Of Impurity Radiation Profiles","Stotler, D [meta:ra/06014244]; Battaglia, D [meta:ra/06014245]; Hager, R [meta:ra/06014246]; Kim, K [meta:ra/06014247]; Koskela, T [meta:ra/06014248]; Park, G [meta:ra/06014249]; Reinke, M [meta:ra/06014250]","","","","","2017","dataset","Princeton Plasma Physics Laboratory (Pppl), Princeton [meta:ra/06014251]",""
"meta:br/0602874 doi:10.11578/1367156","Hydrogen Retention In Lithium On Metallic Walls From “In Vacuo” Analysis In LTX And Implications For High-Z Plasma-Facing Components In NSTX-U","Kaita, R. [meta:ra/06013879]; Lucia, M. [meta:ra/06013880]; Allain, J.P [meta:ra/06013881]; Bedoya, F. [meta:ra/06013882]; Capece, A. [meta:ra/06013883]; Jaworski, M. [meta:ra/06013884]; Koel, B.E. [meta:ra/06013885]; Majeski, R. [meta:ra/06013886]; Roszell, J. [meta:ra/06013887]; Schmitt, J. [meta:ra/06013888]; Scotti, F. [meta:ra/06013889]; Skinner, C.H. [meta:ra/06013890]; Soukhanovskii, V. [meta:ra/06013891]","","","","","2016","dataset","Princeton Plasma Physics Laboratory (Pppl), Princeton [meta:ra/06013892]",""
"meta:br/0602511 doi:10.4230/oasics.slate.2021.10","LeMe-PT: A Medical Package Leaflet Corpus For Portuguese","Simões, Alberto [meta:ra/0619083964 orcid:0000-0001-6961-2660]; Gamallo Otero, Pablo [meta:ra/062306164 orcid:0000-0002-5819-2469]","","","[meta:br/0603684 issn:2190-6807]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06012832]","Queirós, Ricardo [meta:ra/0626045264 orcid:0000-0002-1985-6285]; Mário Pinto [meta:ra/06012574 orcid:0000-0002-6734-5797]; Simões, Alberto [meta:ra/0619083964 orcid:0000-0001-6961-2660]; Portela, Carlos Filipe [meta:ra/0614014195 orcid:0000-0003-2181-6837]; Pereira, Maria João Varanda [meta:ra/062036385 orcid:0000-0001-6323-0071]"
"meta:br/0602370 doi:10.4230/oasics.atmos.2021.7","Optimal Forks: Preprocessing Single-Source Shortest Path Instances With Interval Data","Lindner, Niels [meta:ra/0626071278 orcid:0000-0002-8337-4387]; Maristany De Las Casas, Pedro [meta:ra/06110110544 orcid:0000-0002-4197-0893]; Schiewe, Philine [meta:ra/0616078878 orcid:0000-0002-4223-3246]","","","[meta:br/0603684 issn:2190-6807]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06012461]","Müller-Hannemann, Matthias [meta:ra/065023402 orcid:0000-0001-6976-0006]; Perea, Federico [meta:ra/06208671 orcid:0000-0002-4731-6059]"
